timestamp,component,pid,microwatts,watts
2026-05-17T08:28:12,cu_cp2,3751344,183405.5693936859,0.183406
2026-05-17T08:28:12,cu_up2,3751962,186623.20920490488,0.186623
2026-05-17T08:28:12,du1,3753086,2969883.262684331,2.969883
2026-05-17T08:28:12,du2,3753063,2953794.9491662886,2.953795
2026-05-17T08:28:12,du3,3753094,2995624.1522501875,2.995624
2026-05-17T08:28:12,du_b,3753088,3185465.24449795,3.185465
2026-05-17T08:28:12,du_b2,3753079,3117894.9229242993,3.117895
2026-05-17T08:28:12,du_b3,3753065,3124329.9736228418,3.124330
2026-05-17T08:28:17,cu_cp,3751340,189274.52828925103,0.189275
2026-05-17T08:28:17,cu_up,3751963,179650.40118489653,0.179650
2026-05-17T08:28:17,cu_cp2,3751344,186066.50020627247,0.186067
2026-05-17T08:28:17,cu_up2,3751962,182858.4435530147,0.182858
2026-05-17T08:28:17,du1,3753086,2944983.4653380606,2.944983
2026-05-17T08:28:17,du2,3753063,2935359.3953742646,2.935359
2026-05-17T08:28:17,du3,3753094,2980271.874246802,2.980272
2026-05-17T08:28:17,du_b,3753088,3185586.8143685986,3.185587
2026-05-17T08:28:17,du_b2,3753079,3102177.5985164093,3.102178
2026-05-17T08:28:17,du_b3,3753065,3111801.6684802053,3.111802
2026-05-17T08:28:22,cu_cp,3751340,180337.81199495494,0.180338
2026-05-17T08:28:22,cu_up,3751963,183558.12981042266,0.183558
2026-05-17T08:28:22,cu_cp2,3751344,183558.12981042266,0.183558
2026-05-17T08:28:22,cu_up2,3751962,180337.81199495494,0.180338
2026-05-17T08:28:22,du1,3753086,2949811.290913582,2.949811
2026-05-17T08:28:22,du2,3753063,2953031.70903039,2.953032
2026-05-17T08:28:22,du3,3753094,2985234.9731576443,2.985235
2026-05-17T08:28:22,du_b,3753088,3194555.731464386,3.194556
2026-05-17T08:28:22,du_b2,3753079,3117267.7600028515,3.117268
2026-05-17T08:28:22,du_b3,3753065,3117267.7600028515,3.117268
2026-05-17T08:28:28,cu_cp,3751340,177602.8580058092,0.177603
2026-05-17T08:28:28,cu_up,3751963,187290.2769740814,0.187290
2026-05-17T08:28:28,cu_cp2,3751344,180831.98809861243,0.180832
2026-05-17T08:28:28,cu_up2,3751962,180831.98809861243,0.180832
2026-05-17T08:28:28,du1,3753086,2996644.4315853026,2.996644
2026-05-17T08:28:28,du2,3753063,2954665.6543092728,2.954666
2026-05-17T08:28:28,du3,3753094,2990186.2287794207,2.990186
2026-05-17T08:28:28,du_b,3753088,3209768.107925091,3.209768
2026-05-17T08:28:28,du_b2,3753079,3129039.4252570723,3.129039
2026-05-17T08:28:28,du_b3,3753065,3135497.398544054,3.135497
2026-05-17T08:28:33,cu_cp,3751340,179356.83584481434,0.179357
2026-05-17T08:28:33,cu_up,3751963,179356.83584481434,0.179357
2026-05-17T08:28:33,cu_cp2,3751344,194953.08868304564,0.194953
2026-05-17T08:28:33,cu_up2,3751962,179356.83584481434,0.179357
2026-05-17T08:28:33,du1,3753086,2963286.8905464173,2.963287
2026-05-17T08:28:33,du2,3753063,2963286.8905464173,2.963287
2026-05-17T08:28:33,du3,3753094,3002277.580077872,3.002278
2026-05-17T08:28:33,du_b,3753088,3205028.981846633,3.205029
2026-05-17T08:28:33,du_b2,3753079,3127047.602783723,3.127048
2026-05-17T08:28:33,du_b3,3753065,3134845.5568952085,3.134846
2026-05-17T08:28:38,cu_cp,3751340,174529.1882113886,0.174529
2026-05-17T08:28:38,cu_up,3751963,181241.8503991951,0.181242
2026-05-17T08:28:38,cu_cp2,3751344,181241.8503991951,0.181242
2026-05-17T08:28:38,cu_up2,3751962,181241.8503991951,0.181242
2026-05-17T08:28:38,du1,3753086,2946858.198694396,2.946858
2026-05-17T08:28:38,du2,3753063,2946858.198694396,2.946858
2026-05-17T08:28:38,du3,3753094,2993846.7910016705,2.993847
2026-05-17T08:28:38,du_b,3753088,3188514.2094849157,3.188514
2026-05-17T08:28:38,du_b2,3753079,3114674.7963969302,3.114675
2026-05-17T08:28:38,du_b3,3753065,3107962.2058880758,3.107962
2026-05-17T08:28:44,cu_cp,3751340,185119.76203245818,0.185120
2026-05-17T08:28:44,cu_up,3751963,191091.38157325462,0.191091
2026-05-17T08:28:44,cu_cp2,3751344,173176.5515787512,0.173177
2026-05-17T08:28:44,cu_up2,3751962,179148.17111954762,0.179148
2026-05-17T08:28:44,du1,3753086,2955944.6445482494,2.955945
2026-05-17T08:28:44,du2,3753063,2955944.6445482494,2.955945
2026-05-17T08:28:44,du3,3753094,3009689.034334159,3.009689
2026-05-17T08:28:44,du_b,3753088,3194809.082645476,3.194809
2026-05-17T08:28:44,du_b2,3753079,3117178.0429290654,3.117178
2026-05-17T08:28:44,du_b3,3753065,3123149.590900147,3.123150
2026-05-17T08:28:49,cu_cp,3751340,178151.04655451805,0.178151
2026-05-17T08:28:49,cu_up,3751963,178151.04655451805,0.178151
2026-05-17T08:28:49,cu_cp2,3751344,183549.5744282499,0.183550
2026-05-17T08:28:49,cu_up2,3751962,178151.04655451805,0.178151
2026-05-17T08:28:49,du1,3753086,3006973.9383555483,3.006974
2026-05-17T08:28:49,du2,3753063,2963785.7153656934,2.963786
2026-05-17T08:28:49,du3,3753094,3017770.764393084,3.017771
2026-05-17T08:28:49,du_b,3753088,3206718.895408807,3.206719
2026-05-17T08:28:49,du_b2,3753079,3141936.7906339527,3.141937
2026-05-17T08:28:49,du_b3,3753065,3136538.377615185,3.136538
2026-05-17T08:28:54,cu_cp,3751340,182412.7547266616,0.182413
2026-05-17T08:28:54,cu_up,3751963,176332.3166691181,0.176332
2026-05-17T08:28:54,cu_cp2,3751344,182412.7547266616,0.182413
2026-05-17T08:28:54,cu_up2,3751962,185452.96658877327,0.185453
2026-05-17T08:28:54,du1,3753086,2973327.774478035,2.973328
2026-05-17T08:28:54,du2,3753063,2955086.3886388037,2.955086
2026-05-17T08:28:54,du3,3753094,2994609.429512658,2.994609
2026-05-17T08:28:54,du_b,3753088,3192223.257883198,3.192223
2026-05-17T08:28:54,du_b2,3753079,3119257.943859396,3.119258
2026-05-17T08:28:54,du_b3,3753065,3131418.791307843,3.131419
2026-05-17T08:29:00,cu_cp,3751340,182783.34543402717,0.182783
2026-05-17T08:29:00,cu_up,3751963,188876.12791980803,0.188876
2026-05-17T08:29:00,cu_cp2,3751344,182783.34543402717,0.182783
2026-05-17T08:29:00,cu_up2,3751962,185829.72950250655,0.185830
2026-05-17T08:29:00,du1,3753086,2997646.8593785167,2.997647
2026-05-17T08:29:00,du2,3753063,2982415.0681755184,2.982415
2026-05-17T08:29:00,du3,3753094,3015925.1924870373,3.015925
2026-05-17T08:29:00,du_b,3753088,3204801.607383287,3.204802
2026-05-17T08:29:00,du_b2,3753079,3131688.274949205,3.131688
2026-05-17T08:29:00,du_b3,3753065,3134734.3576924205,3.134734
2026-05-17T08:29:05,cu_cp,3751340,184461.052342332,0.184461
2026-05-17T08:29:05,cu_up,3751963,187485.01200910567,0.187485
2026-05-17T08:29:05,cu_cp2,3751344,175389.20200853227,0.175389
2026-05-17T08:29:05,cu_up2,3751962,184461.052342332,0.184461
2026-05-17T08:29:05,du1,3753086,2969520.6814775183,2.969521
2026-05-17T08:29:05,du2,3753063,2927185.504141378,2.927186
2026-05-17T08:29:05,du3,3753094,2984640.5514776898,2.984641
2026-05-17T08:29:05,du_b,3753088,3184221.230154762,3.184221
2026-05-17T08:29:05,du_b2,3753079,3111646.54215045,3.111647
2026-05-17T08:29:05,du_b3,3753065,3117694.260818348,3.117694
2026-05-17T08:29:10,cu_cp,3751340,182644.02337228716,0.182644
2026-05-17T08:29:10,cu_up,3751963,182644.02337228716,0.182644
2026-05-17T08:29:10,cu_cp2,3751344,191776.23459266216,0.191776
2026-05-17T08:29:10,cu_up2,3751962,173511.82651157022,0.173512
2026-05-17T08:29:10,du1,3753086,2983185.6480689524,2.983186
2026-05-17T08:29:10,du2,3753063,2946656.975503349,2.946657
2026-05-17T08:29:10,du3,3753094,2992317.9310876178,2.992318
2026-05-17T08:29:10,du_b,3753088,3193226.5492165517,3.193227
2026-05-17T08:29:10,du_b2,3753079,3129301.257349482,3.129301
2026-05-17T08:29:10,du_b3,3753065,3132345.0453496645,3.132345
2026-05-17T08:29:15,cu_cp,3751340,180233.86261050953,0.180234
2026-05-17T08:29:15,cu_up,3751963,183288.6889503035,0.183289
2026-05-17T08:29:15,cu_cp2,3751344,183288.6889503035,0.183289
2026-05-17T08:29:15,cu_up2,3751962,177179.05064873712,0.177179
2026-05-17T08:29:15,du1,3753086,2978440.9725830983,2.978441
2026-05-17T08:29:15,du2,3753063,2969276.536697781,2.969277
2026-05-17T08:29:15,du3,3753094,3036482.3998567746,3.036482
2026-05-17T08:29:15,du_b,3753088,3216716.305601349,3.216716
2026-05-17T08:29:15,du_b2,3753079,3137291.194595265,3.137291
2026-05-17T08:29:15,du_b3,3753065,3140346.006557038,3.140346
2026-05-17T08:29:21,cu_cp,3751340,180267.46821742057,0.180267
2026-05-17T08:29:21,cu_up,3751963,189433.6175012398,0.189434
2026-05-17T08:29:21,cu_cp2,3751344,177212.08032408715,0.177212
2026-05-17T08:29:21,cu_up2,3751962,177212.08032408715,0.177212
2026-05-17T08:29:21,du1,3753086,2985106.888865662,2.985107
2026-05-17T08:29:21,du2,3753063,2975940.782770386,2.975941
2026-05-17T08:29:21,du3,3753094,3027882.204202881,3.027882
2026-05-17T08:29:21,du_b,3753088,3220371.353559265,3.220371
2026-05-17T08:29:21,du_b2,3753079,3134820.722884827,3.134821
2026-05-17T08:29:21,du_b3,3753065,3140931.3835020447,3.140931
2026-05-17T08:29:26,cu_cp,3751340,182559.76932592614,0.182560
2026-05-17T08:29:26,cu_up,3751963,182559.76932592614,0.182560
2026-05-17T08:29:26,cu_cp2,3751344,201445.249313689,0.201445
2026-05-17T08:29:26,cu_up2,3751962,176264.59494731427,0.176265
2026-05-17T08:29:26,du1,3753086,2990202.867812276,2.990203
2026-05-17T08:29:26,du2,3753063,2980760.228497231,2.980760
2026-05-17T08:29:26,du3,3753094,3018531.2460035207,3.018531
2026-05-17T08:29:26,du_b,3753088,3216828.9728500126,3.216829
2026-05-17T08:29:26,du_b2,3753079,3138139.3146914006,3.138139
2026-05-17T08:29:26,du_b3,3753065,3141286.937837434,3.141287
2026-05-17T08:29:31,cu_cp,3751340,181666.91844423325,0.181667
2026-05-17T08:29:31,cu_up,3751963,171934.76672230958,0.171935
2026-05-17T08:29:31,cu_cp2,3751344,184910.96901820778,0.184911
2026-05-17T08:29:31,cu_up2,3751962,178422.8678702587,0.178423
2026-05-17T08:29:31,du1,3753086,2984527.908883121,2.984528
2026-05-17T08:29:31,du2,3753063,2994260.2044411423,2.994260
2026-05-17T08:29:31,du3,3753094,3007236.291668162,3.007236
2026-05-17T08:29:31,du_b,3753088,3214855.7585402895,3.214856
2026-05-17T08:29:31,du_b2,3753079,3133754.0626826333,3.133754
2026-05-17T08:29:31,du_b3,3753065,3140242.566571655,3.140243
2026-05-17T08:29:37,cu_cp,3751340,181183.15367114067,0.181183
2026-05-17T08:29:37,cu_up,3751963,177947.74843401433,0.177948
2026-05-17T08:29:37,cu_cp2,3751344,194124.80339415013,0.194125
2026-05-17T08:29:37,cu_up2,3751962,184418.57329551905,0.184419
2026-05-17T08:29:37,du1,3753086,2979815.819862442,2.979816
2026-05-17T08:29:37,du2,3753063,2963638.7936768103,2.963639
2026-05-17T08:29:37,du3,3753094,3002463.886718359,3.002464
2026-05-17T08:29:37,du_b,3753088,3212765.917719669,3.212766
2026-05-17T08:29:37,du_b2,3753079,3135115.7316365717,3.135116
2026-05-17T08:29:37,du_b3,3753065,3138351.3670697305,3.138351
2026-05-17T08:29:42,cu_cp,3751340,178357.82296448946,0.178358
2026-05-17T08:29:42,cu_up,3751963,178357.82296448946,0.178358
2026-05-17T08:29:42,cu_cp2,3751344,188086.43253408372,0.188086
2026-05-17T08:29:42,cu_up2,3751962,188086.43253408372,0.188086
2026-05-17T08:29:42,du1,3753086,2970468.4822669625,2.970468
2026-05-17T08:29:42,du2,3753063,2973711.218110323,2.973711
2026-05-17T08:29:42,du3,3753094,3028840.024816096,3.028840
2026-05-17T08:29:42,du_b,3753088,3226655.4115250707,3.226655
2026-05-17T08:29:42,du_b2,3753079,3135854.6726474166,3.135855
2026-05-17T08:29:42,du_b3,3753065,3142340.374071002,3.142340
2026-05-17T08:29:47,cu_cp,3751340,184604.76328588455,0.184605
2026-05-17T08:29:47,cu_up,3751963,187843.44359592348,0.187843
2026-05-17T08:29:47,cu_cp2,3751344,184604.76328588455,0.184605
2026-05-17T08:29:47,cu_up2,3751962,171650.056432063,0.171650
2026-05-17T08:29:47,du1,3753086,2973108.351979723,2.973108
2026-05-17T08:29:47,du2,3753063,2960153.74583024,2.960154
2026-05-17T08:29:47,du3,3753094,3005495.0975347757,3.005495
2026-05-17T08:29:47,du_b,3753088,3203054.6827651546,3.203055
2026-05-17T08:29:47,du_b2,3753079,3141519.6130110743,3.141520
2026-05-17T08:29:47,du_b3,3753065,3135042.3099363325,3.135042
2026-05-17T08:29:52,cu_cp,3751340,181924.12477490903,0.181924
2026-05-17T08:29:52,cu_up,3751963,181924.12477490903,0.181924
2026-05-17T08:29:52,cu_cp2,3751344,185172.77525839806,0.185173
2026-05-17T08:29:52,cu_up2,3751962,181924.12477490903,0.181924
2026-05-17T08:29:52,du1,3753086,3004996.6444908143,3.004997
2026-05-17T08:29:52,du2,3753063,2969261.6187297823,2.969262
2026-05-17T08:29:52,du3,3753094,3011493.8590862276,3.011494
2026-05-17T08:29:52,du_b,3753088,3219407.2597053526,3.219407
2026-05-17T08:29:52,du_b2,3753079,3141439.9935878753,3.141440
2026-05-17T08:29:52,du_b3,3753065,3147937.2081832886,3.147937
2026-05-17T08:29:58,cu_cp,3751340,178108.37514532416,0.178108
2026-05-17T08:29:58,cu_up,3751963,181346.71263732165,0.181347
2026-05-17T08:29:58,cu_cp2,3751344,181346.71263732165,0.181347
