Connecting to host 10.45.1.7, port 5361
[  5] local 10.45.1.1 port 35414 connected to 10.45.1.7 port 5361
[  5]  99.00-100.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  5] 100.00-101.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.28 MBytes       
[  5] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    0   1.33 MBytes       
[  5] 102.00-103.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.41 MBytes       
[  5] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec    0   1.49 MBytes       
[  5] 104.00-105.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.57 MBytes       
[  5] 105.00-106.00 sec  0.00 Bytes  0.00 bits/sec    0   1.63 MBytes       
[  5] 106.00-107.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.68 MBytes       
[  5] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec    0   1.72 MBytes       
[  5] 108.00-109.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.75 MBytes       
[  5] 109.00-110.00 sec  0.00 Bytes  0.00 bits/sec    0   1.78 MBytes       
[  5] 110.00-111.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.79 MBytes       
[  5] 111.00-112.00 sec  0.00 Bytes  0.00 bits/sec    0   1.80 MBytes       
[  5] 112.00-113.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.81 MBytes       
[  5] 113.00-114.00 sec  0.00 Bytes  0.00 bits/sec    6   1.63 MBytes       
[  5] 114.00-115.00 sec  0.00 Bytes  0.00 bits/sec    0   1.45 MBytes       
[  5] 115.00-116.00 sec  2.50 MBytes  21.0 Mbits/sec    6    802 KBytes       
[  5] 116.00-117.00 sec  0.00 Bytes  0.00 bits/sec    8   1.26 MBytes       
[  5] 117.00-118.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.06 MBytes       
[  5] 118.00-119.00 sec  0.00 Bytes  0.00 bits/sec    0    908 KBytes       
[  5] 119.00-120.00 sec  1.25 MBytes  10.5 Mbits/sec    0    933 KBytes       
[  5] 120.00-121.00 sec  0.00 Bytes  0.00 bits/sec    0    976 KBytes       
[  5] 121.00-122.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1014 KBytes       
[  5] 122.00-123.00 sec  0.00 Bytes  0.00 bits/sec    0   1.02 MBytes       
[  5] 123.00-124.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  5] 124.00-125.00 sec  0.00 Bytes  0.00 bits/sec    0   1.06 MBytes       
[  5] 125.00-126.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.07 MBytes       
[  5] 126.00-127.00 sec  0.00 Bytes  0.00 bits/sec    0   1.07 MBytes       
[  5] 127.00-128.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.08 MBytes       
[  5] 128.00-129.00 sec  0.00 Bytes  0.00 bits/sec    0   1.08 MBytes       
[  5] 129.00-130.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.09 MBytes       
[  5] 130.00-131.00 sec  0.00 Bytes  0.00 bits/sec    0   1.11 MBytes       
[  5] 131.00-132.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.14 MBytes       
[  5] 132.00-133.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.18 MBytes       
[  5] 133.00-134.00 sec  0.00 Bytes  0.00 bits/sec    0   1.24 MBytes       
